thalos_id,calories,protein,fat,carbs
100002,52,3.33,2.14,4.83
100003,61,3.27,3.2,4.63
100004,50,3.36,1.9,4.9
100005,43,3.38,0.95,5.18
100006,34,3.43,0.08,4.92
100007,43,3.38,0.95,5.18
100008,34,3.43,0.08,4.92
100009,50,3.36,1.9,4.9
100010,61,3.27,3.2,4.63
100011,43,3.46,1.08,4.81
100012,52,3.59,0.96,7.48
100013,69,3.56,4.14,4.45
100014,32,3.2,0.07,4.6
100015,76,4.01,4.08,5.86
100016,134,6.81,7.56,10.04
100017,134,6.81,7.56,10.04
100018,92,7.42,1.96,11.15
100019,78,7.55,0.2,11.35
100020,321,7.91,8.7,54.4
100021,31,1.14,1.6,3.04
100022,53,3.41,2.05,5.22
100023,38,3.55,2.12,1.29
100024,64,3.35,2.03,8.32
100025,30,0.53,1.18,4.31
100026,43,0.57,1.2,7.44
100027,15,0.55,1.22,0.34
100028,20,0.54,1.21,1.53
100029,47,0.28,0.97,9.17
100030,45,0.66,2.33,5.37
100031,31,0.21,2.08,2.92
100032,94,6.67,2.87,10.22
100033,91,9.11,1.33,10.78
100034,93,4.57,1.34,15.69
100035,63,5.25,1.55,7.04
100036,78,3.82,4.48,5.57
100037,63,5.25,1.55,7.04
100038,50,4.23,0.09,8.08
100039,67,10.2,1.36,3.6
100040,94,8.78,4.39,4.75
100041,67,10.2,1.36,3.6
100042,59,10.3,0.37,3.64
100043,93,4.57,1.34,15.69
100044,106,3.34,3.86,14.43
100045,93,4.57,1.34,15.69
100046,46,3.64,0.08,7.64
100047,91,9.11,1.33,10.78
100048,114,7.85,3.91,11.8
100049,91,9.11,1.33,10.78
100050,83,9.21,0.34,10.81
100051,82,4.51,1.36,13.02
100052,95,3.28,3.88,11.76
100053,82,4.51,1.36,13.02
100054,47,3.64,0.08,7.94
100055,81,9.07,1.34,8.18
100056,104,7.81,3.92,9.21
100057,81,9.07,1.34,8.18
100058,73,9.17,0.34,8.22
100059,149,9.22,3.67,20.02
100060,74,3.65,1.07,12.55
100061,81,4.34,1.03,13.68
100062,189,7.93,15.99,3.33
100063,160,6.82,12.91,4.06
100064,195,8.48,16.09,4.13
100065,159,7.02,12.96,3.59
100066,91,5.22,6,4.1
100067,191,8.16,16.03,3.76
100068,104,5.25,2.18,16.08
100069,127,3,3.6,21.6
100070,127,3,3.6,21.6
100071,131,3,3.6,21.6
100072,159,4,5.6,24.2
100073,160,4.31,5.76,24.87
100074,204,3.9,6.25,34.38
100075,127,3,3.6,21.6
100076,131,3,3.6,21.6
100077,142,3.2,3.73,23.9
100078,139,3.2,3.73,23.9
100079,143,3.29,3.61,25.28
100080,147,3.29,3.61,25.28
100081,75,4.9,2.15,9.08
100082,78,3.82,4.48,5.57
100083,98,3.48,4.04,11.9
100084,65,3.44,0.83,10.98
100085,83,3.17,3.39,10.34
100086,76,2.99,1.9,12.13
100087,67,3.39,0,13.46
100088,64,3.46,1.11,10.15
100089,65,3.09,1.99,8.56
100090,72,1.82,1.04,13.9
100091,91,2.73,1.54,16.53
100092,78,2.79,0.06,16.55
100093,76,0.93,1.3,15.02
100094,101,2.7,2.8,16.25
100095,74,3.41,2.15,10.09
100096,54,1.35,1.64,8.41
100097,73,3.04,2.92,8.38
100098,63,3.11,1.78,8.62
100099,57,3.13,0.95,8.87
100100,49,3.18,0.19,8.64
100101,54,0.9,0.54,11.27
100102,97,3.81,2.18,15.51
100103,83,3.87,0.61,15.53
100104,81,1.88,1.92,13.9
100105,65,0.94,1.83,11.2
100106,31,1.26,0.24,5.87
100107,77,4.35,1.99,10.37
100108,54,1.19,1.48,8.92
100109,69,2.99,1.73,10.44
100110,62,4.41,0.32,10.39
100111,56,3.05,0.25,10.45
100112,59,2.31,1.72,8.66
100113,65,3.2,2.06,8.54
100114,86,3.03,2.97,11.79
100115,71,3.16,1.8,10.7
100116,69,3.13,0.89,12.3
100117,61,3.18,0.09,12.06
100118,59,3.27,2.1,6.72
100119,66,3.19,2.05,8.64
100120,88,4.55,4.19,8.05
100121,120,3.47,6.14,13.53
100122,113,3.35,5.98,11.39
100123,97,3.99,3.31,12.93
100124,92,3.88,2.33,13.83
100125,125,3.76,6.11,13.64
100126,150,3.7,6.66,20.36
100127,148,3.37,6.52,19.59
100128,150,3.7,6.66,20.36
100129,148,3.37,6.52,19.59
100130,75,2.33,1.45,13.15
100131,66,2.32,1.1,11.98
100132,66,2.32,1.1,11.98
100133,79,7.35,1.24,10.04
100134,65,0.86,0.14,15.05
100135,49,0.64,0.4,10.68
100136,66,1.38,3.56,7.12
100137,65,1.37,3.6,6.9
100138,67,1.8,3.63,6.77
100139,67,1.8,3.63,6.77
100140,66,1.37,3.62,6.87
100141,66,1.37,3.62,6.87
100142,66,1.37,3.62,6.87
100143,66,1.37,3.62,6.87
100144,65,1.4,3.53,6.99
100145,65,1.4,3.53,6.99
100146,65,1.4,3.53,6.99
100147,65,1.4,3.53,6.99
100148,65,1.38,3.48,6.9
100149,65,1.38,3.48,6.9
100150,58,1.73,3.11,5.87
100151,66,1.43,3.49,7.36
100152,66,1.4,3.49,7.38
100153,66,1.4,3.49,7.38
100154,66,1.4,3.49,7.38
100155,66,1.4,3.49,7.38
100156,65,1.6,3.24,7.43
100157,65,1.6,3.24,7.43
100158,67,1.51,3.49,7.31
100159,67,1.51,3.49,7.31
100160,67,1.51,3.49,7.31
100161,67,1.51,3.49,7.31
100162,67,1.7,3.52,7
100163,99,2.86,4.77,11.15
100164,62,1.72,3.32,6.43
100165,62,1.72,3.32,6.43
100166,99,2.86,4.77,11.15
100167,65,1.49,3.33,7.26
100168,66,1.45,3.34,7.3
100169,66,1.45,3.34,7.3
100170,66,1.45,3.34,7.3
100171,66,1.45,3.34,7.3
100172,66,1.45,3.34,7.3
100173,62,1.72,3.32,6.43
100174,71,1.96,3.78,7.34
100175,71,1.96,3.78,7.34
100176,66,1.38,3.56,7.12
100177,66,1.38,3.56,7.12
100178,66,1.38,3.56,7.12
100179,66,1.38,3.56,7.12
100180,66,1.38,3.56,7.12
100181,66,1.46,3.51,7.15
100182,65,1.49,3.36,7.17
