thalos_id,fdc_id,name,fndds_code,dataset
100001,2340760,"Milk, human",11000000,FNDDS
100002,2340761,"Milk, NFS",11100000,FNDDS
100003,2340762,"Milk, whole",11111000,FNDDS
100004,2340763,"Milk, reduced fat (2%)",11112110,FNDDS
100005,2340764,"Milk, low fat (1%)",11112210,FNDDS
100006,2340765,"Milk, fat free (skim)",11113000,FNDDS
100007,2340766,"Milk, lactose free, low fat (1%)",11114300,FNDDS
100008,2340767,"Milk, lactose free, fat free (skim)",11114320,FNDDS
100009,2340768,"Milk, lactose free, reduced fat (2%)",11114330,FNDDS
100010,2340769,"Milk, lactose free, whole",11114350,FNDDS
100011,2340771,Buttermilk,11115300,FNDDS
100012,2340772,Kefir,11115400,FNDDS
100013,2340773,Goat milk,11116000,FNDDS
100014,2340774,"Milk, dry, reconstituted, nonfat",11120000,FNDDS
100015,2340775,"Milk, dry, reconstituted, whole",11121100,FNDDS
100016,2340778,"Milk, evaporated, NS as to fat content",11210050,FNDDS
100017,2340779,"Milk, evaporated, whole",11211050,FNDDS
100018,2340780,"Milk, evaporated, reduced fat (2%)",11211400,FNDDS
100019,2340781,"Milk, evaporated, fat free (skim)",11212050,FNDDS
100020,2340782,"Milk, condensed, sweetened",11220000,FNDDS
100021,2340783,"Non-dairy milk, NFS",11300100,FNDDS
100022,2340784,"Soy milk, sweetened",11320000,FNDDS
100023,2340785,"Soy milk, unsweetened",11320100,FNDDS
100024,2340787,"Soy milk, chocolate",11321000,FNDDS
100025,2340789,"Almond milk, sweetened",11350000,FNDDS
100026,2340790,"Almond milk, chocolate",11350010,FNDDS
100027,2340791,"Almond milk, unsweetened",11350020,FNDDS
100028,NA,"Almond milk, NFS",11350040,FNDDS
100029,2340793,Rice milk,11360000,FNDDS
100030,NA,Oat milk,11360200,FNDDS
100031,2340794,Coconut milk,11370000,FNDDS
100032,2340795,"Yogurt, NFS",11400000,FNDDS
100033,2340796,"Yogurt, Greek, NS as to type of milk or flavor",11400010,FNDDS
100034,2340797,"Yogurt, NS as to type of milk or flavor",11410000,FNDDS
100035,2340798,"Yogurt, NS as to type of milk, plain",11411010,FNDDS
100036,2340799,"Yogurt, whole milk, plain",11411100,FNDDS
100037,2340800,"Yogurt, low fat milk, plain",11411200,FNDDS
100038,2340801,"Yogurt, nonfat milk, plain",11411300,FNDDS
100039,2340802,"Yogurt, Greek, NS as to type of milk, plain",11411390,FNDDS
100040,2340803,"Yogurt, Greek, whole milk, plain",11411400,FNDDS
100041,2340804,"Yogurt, Greek, low fat milk, plain",11411410,FNDDS
100042,2340805,"Yogurt, Greek, nonfat milk, plain",11411420,FNDDS
100043,2340806,"Yogurt, NS as to type of milk, fruit",11430000,FNDDS
100044,2340807,"Yogurt, whole milk, fruit",11431000,FNDDS
100045,2340808,"Yogurt, low fat milk, fruit",11432000,FNDDS
100046,2340809,"Yogurt, nonfat milk, fruit",11433000,FNDDS
100047,2340810,"Yogurt, Greek, NS as to type of milk, fruit",11433990,FNDDS
100048,2340811,"Yogurt, Greek, whole milk, fruit",11434000,FNDDS
100049,2340812,"Yogurt, Greek, low fat milk, fruit",11434010,FNDDS
