thalos_id,fndds_code,food,includes,fndds_cat
100001,11000000,"Milk, human",NA,9602
100002,11100000,"Milk, NFS",NA,1004
100003,11111000,"Milk, whole",leche fresca,1002
100004,11112110,"Milk, reduced fat (2%)",NA,1004
100005,11112210,"Milk, low fat (1%)",NA,1006
100006,11113000,"Milk, fat free (skim)",NA,1008
100007,11114300,"Milk, lactose free, low fat (1%)",NA,1006
100008,11114320,"Milk, lactose free, fat free (skim)",NA,1008
100009,11114330,"Milk, lactose free, reduced fat (2%)","lactose free milk, NS as to fat content",1004
100010,11114350,"Milk, lactose free, whole",NA,1002
100011,11115300,Buttermilk,NA,1002
100012,11115400,Kefir,fermented milk drink; all types,1006
100013,11116000,Goat milk,NA,1002
100014,11120000,"Milk, dry, reconstituted, nonfat",NS as to fat content; 1% fat; 2% fat,1008
100015,11121100,"Milk, dry, reconstituted, whole",Nido Fortificada,1002
100016,11210050,"Milk, evaporated, NS as to fat content",NA,1002
100017,11211050,"Milk, evaporated, whole",NA,1002
100018,11211400,"Milk, evaporated, reduced fat (2%)",NA,1004
100019,11212050,"Milk, evaporated, fat free (skim)",NA,1008
100020,11220000,"Milk, condensed, sweetened",La Lechera,1202
100021,11300100,"Non-dairy milk, NFS",NA,1902
100022,11320000,"Soy milk, sweetened",NS as to sweetened,1902
100023,11320100,"Soy milk, unsweetened",light,1902
100024,11321000,"Soy milk, chocolate",NA,1902
100025,11350000,"Almond milk, sweetened",cashew or other nut milk,1902
100026,11350010,"Almond milk, chocolate",cashew or other nut milk,1902
100027,11350020,"Almond milk, unsweetened",cashew or other nut milk; light,1902
100028,11350040,"Almond milk, NFS",cashew or other nut milk; NS as to sweetened,1902
100029,11360000,Rice milk,NA,1902
100030,11360200,Oat milk,NA,1902
100031,11370000,Coconut milk,NA,1902
100032,11400000,"Yogurt, NFS",NA,1820
100033,11400010,"Yogurt, Greek, NS as to type of milk or flavor",NA,1822
100034,11410000,"Yogurt, NS as to type of milk or flavor",NA,1820
