thalos_id,food,cal,protein,fat,carbs
100002,"Milk, NFS",52,3.33,2.14,4.83
100003,"Milk, whole",61,3.27,3.2,4.63
100004,"Milk, reduced fat (2%)",50,3.36,1.9,4.9
100005,"Milk, low fat (1%)",43,3.38,0.95,5.18
100006,"Milk, fat free (skim)",34,3.43,0.08,4.92
100007,"Milk, lactose free, low fat (1%)",43,3.38,0.95,5.18
100008,"Milk, lactose free, fat free (skim)",34,3.43,0.08,4.92
100009,"Milk, lactose free, reduced fat (2%)",50,3.36,1.9,4.9
100010,"Milk, lactose free, whole",61,3.27,3.2,4.63
100011,Buttermilk,43,3.46,1.08,4.81
100012,Kefir,52,3.59,0.96,7.48
100013,Goat milk,69,3.56,4.14,4.45
100014,"Milk, dry, reconstituted, nonfat",32,3.2,0.07,4.6
100015,"Milk, dry, reconstituted, whole",76,4.01,4.08,5.86
100016,"Milk, evaporated, NS as to fat content",134,6.81,7.56,10.04
100017,"Milk, evaporated, whole",134,6.81,7.56,10.04
100018,"Milk, evaporated, reduced fat (2%)",92,7.42,1.96,11.15
100019,"Milk, evaporated, fat free (skim)",78,7.55,0.2,11.35
100020,"Milk, condensed, sweetened",321,7.91,8.7,54.4
100021,"Non-dairy milk, NFS",31,1.14,1.6,3.04
100022,"Soy milk, sweetened",53,3.41,2.05,5.22
100023,"Soy milk, unsweetened",38,3.55,2.12,1.29
100024,"Soy milk, chocolate",64,3.35,2.03,8.32
100025,"Almond milk, sweetened",30,0.53,1.18,4.31
100026,"Almond milk, chocolate",43,0.57,1.2,7.44
100027,"Almond milk, unsweetened",15,0.55,1.22,0.34
100028,"Almond milk, NFS",20,0.54,1.21,1.53
100029,Rice milk,47,0.28,0.97,9.17
100030,Oat milk,45,0.66,2.33,5.37
100031,Coconut milk,31,0.21,2.08,2.92
100032,"Yogurt, NFS",94,6.67,2.87,10.22
100033,"Yogurt, Greek, NS as to type of milk or flavor",91,9.11,1.33,10.78
100034,"Yogurt, NS as to type of milk or flavor",93,4.57,1.34,15.69
100035,"Yogurt, NS as to type of milk, plain",63,5.25,1.55,7.04
100036,"Yogurt, whole milk, plain",78,3.82,4.48,5.57
100037,"Yogurt, low fat milk, plain",63,5.25,1.55,7.04
100038,"Yogurt, nonfat milk, plain",50,4.23,0.09,8.08
100039,"Yogurt, Greek, NS as to type of milk, plain",67,10.2,1.36,3.6
100040,"Yogurt, Greek, whole milk, plain",94,8.78,4.39,4.75
100041,"Yogurt, Greek, low fat milk, plain",67,10.2,1.36,3.6
100042,"Yogurt, Greek, nonfat milk, plain",59,10.3,0.37,3.64
100043,"Yogurt, NS as to type of milk, fruit",93,4.57,1.34,15.69
100044,"Yogurt, whole milk, fruit",106,3.34,3.86,14.43
100045,"Yogurt, low fat milk, fruit",93,4.57,1.34,15.69
100046,"Yogurt, nonfat milk, fruit",46,3.64,0.08,7.64
100047,"Yogurt, Greek, NS as to type of milk, fruit",91,9.11,1.33,10.78
100048,"Yogurt, Greek, whole milk, fruit",114,7.85,3.91,11.8
100049,"Yogurt, Greek, low fat milk, fruit",91,9.11,1.33,10.78
100050,"Yogurt, Greek, nonfat milk, fruit",83,9.21,0.34,10.81
100051,"Yogurt, NS as to type of milk, flavors other than fruit",82,4.51,1.36,13.02
100052,"Yogurt, whole milk, flavors other than fruit",95,3.28,3.88,11.76
100053,"Yogurt, low fat milk, flavors other than fruit",82,4.51,1.36,13.02
100054,"Yogurt, nonfat milk, flavors other than fruit",47,3.64,0.08,7.94
100055,"Yogurt, Greek, NS as to type of milk, flavors other than fruit",81,9.07,1.34,8.18
100056,"Yogurt, Greek, whole milk, flavors other than fruit",104,7.81,3.92,9.21
100057,"Yogurt, Greek, low fat milk, flavors other than fruit",81,9.07,1.34,8.18
100058,"Yogurt, Greek, nonfat milk, flavors other than fruit",73,9.17,0.34,8.22
100059,"Yogurt, Greek, with oats",149,9.22,3.67,20.02
100060,"Yogurt, liquid",74,3.65,1.07,12.55
100061,Yogurt tube,81,4.34,1.03,13.68
100062,"Chipotle dip, yogurt based",189,7.93,15.99,3.33
100063,"Onion dip, yogurt based",160,6.82,12.91,4.06
100064,"Ranch dip, yogurt based",195,8.48,16.09,4.13
100065,"Spinach dip, yogurt based",159,7.02,12.96,3.59
100066,Tzatziki dip,91,5.22,6,4.1
100067,"Vegetable dip, yogurt based",191,8.16,16.03,3.76
100068,"Yogurt parfait, with fruit",104,5.25,2.18,16.08
100069,"Frozen yogurt, NFS",127,3,3.6,21.6
100070,"Frozen yogurt, vanilla",127,3,3.6,21.6
100071,"Frozen yogurt, chocolate",131,3,3.6,21.6
100072,"Frozen yogurt, soft serve, vanilla",159,4,5.6,24.2
100073,"Frozen yogurt, soft serve, chocolate",160,4.31,5.76,24.87
100074,Frozen yogurt sandwich,204,3.9,6.25,34.38
100075,"Frozen yogurt bar, vanilla",127,3,3.6,21.6
100076,"Frozen yogurt bar, chocolate",131,3,3.6,21.6
100077,"Frozen yogurt cone, chocolate",142,3.2,3.73,23.9
100078,"Frozen yogurt cone, vanilla",139,3.2,3.73,23.9
100079,"Frozen yogurt cone, vanilla, waffle cone",143,3.29,3.61,25.28
100080,"Frozen yogurt cone, chocolate, waffle cone",147,3.29,3.61,25.28
100081,"Baby Toddler food, NFS",75,4.9,2.15,9.08
100082,"Baby Toddler yogurt, plain",78,3.82,4.48,5.57
100083,"Baby Toddler yogurt, with fruit",98,3.48,4.04,11.9
100084,"Chocolate milk, NFS",65,3.44,0.83,10.98
100085,"Chocolate milk, whole",83,3.17,3.39,10.34
100086,"Chocolate milk, reduced fat (2%)",76,2.99,1.9,12.13
100087,"Chocolate milk, fat free (skim)",67,3.39,0,13.46
100088,"Chocolate milk, low fat (1%)",64,3.46,1.11,10.15
100089,"Chocolate milk, reduced sugar, NFS",65,3.09,1.99,8.56
100090,"Hot chocolate / cocoa, NFS",72,1.82,1.04,13.9
100091,"Hot chocolate / cocoa, made with whole or reduced fat (2%) milk",91,2.73,1.54,16.53
100092,"Hot chocolate / cocoa, made with lowfat (1%) or fat free (skim) milk",78,2.79,0.06,16.55
100093,"Hot chocolate / cocoa, made with non-dairy milk",76,0.93,1.3,15.02
100094,"Hot chocolate / cocoa, with whipped cream",101,2.7,2.8,16.25
100095,"Chocolate milk, Nesquik, NS as to type of milk",74,3.41,2.15,10.09
100096,"Chocolate milk, Nesquik, made with non-dairy milk",54,1.35,1.64,8.41
100097,"Chocolate milk, reduced sugar, whole",73,3.04,2.92,8.38
100098,"Chocolate milk, reduced sugar, reduced fat (2%)",63,3.11,1.78,8.62
100099,"Chocolate milk, reduced sugar, low fat (1%)",57,3.13,0.95,8.87
