thalos_id,serving_id,food,portion,grams
100001,1,"Milk, human",1 cup,246
100001,2,"Milk, human",Quantity not specified,0
100001,3,"Milk, human",1 fl oz,30.8
100002,1,"Milk, NFS",1 cup,244
100002,2,"Milk, NFS",1 fl oz,30.5
100002,3,"Milk, NFS",1 individual school container,244
100002,4,"Milk, NFS",Guideline amount per fl oz of beverage,2.5
100002,5,"Milk, NFS",Guideline amount per cup of hot cereal,61
100002,6,"Milk, NFS",Quantity not specified,244
100003,1,"Milk, whole",1 cup,244
100003,2,"Milk, whole",1 fl oz,30.5
100003,3,"Milk, whole",1 individual school container,244
100003,4,"Milk, whole",Guideline amount per fl oz of beverage,2.5
100003,5,"Milk, whole",Guideline amount per cup of hot cereal,61
100003,6,"Milk, whole",Quantity not specified,244
100004,1,"Milk, reduced fat (2%)",1 cup,244
100004,2,"Milk, reduced fat (2%)",1 fl oz,30.5
100004,3,"Milk, reduced fat (2%)",1 individual school container,244
100004,4,"Milk, reduced fat (2%)",Guideline amount per fl oz of beverage,2.5
100004,5,"Milk, reduced fat (2%)",Guideline amount per cup of hot cereal,61
100004,6,"Milk, reduced fat (2%)",Quantity not specified,244
100005,1,"Milk, low fat (1%)",1 cup,244
100005,2,"Milk, low fat (1%)",1 fl oz,30.5
100005,3,"Milk, low fat (1%)",1 individual school container,244
100005,4,"Milk, low fat (1%)",Guideline amount per fl oz of beverage,2.5
100005,5,"Milk, low fat (1%)",Guideline amount per cup of hot cereal,61
100005,6,"Milk, low fat (1%)",Quantity not specified,244
100006,1,"Milk, fat free (skim)",1 cup,244
100006,2,"Milk, fat free (skim)",1 fl oz,30.5
100006,3,"Milk, fat free (skim)",1 individual school container,244
100006,4,"Milk, fat free (skim)",Guideline amount per fl oz of beverage,2.5
100006,5,"Milk, fat free (skim)",Guideline amount per cup of hot cereal,61
100006,6,"Milk, fat free (skim)",Quantity not specified,244
100007,1,"Milk, lactose free, low fat (1%)",1 cup,244
100007,2,"Milk, lactose free, low fat (1%)",1 fl oz,30.5
100007,3,"Milk, lactose free, low fat (1%)",Guideline amount per fl oz of beverage,2.5
100007,4,"Milk, lactose free, low fat (1%)",Guideline amount per cup of hot cereal,61
100007,5,"Milk, lactose free, low fat (1%)",Quantity not specified,244
100008,1,"Milk, lactose free, fat free (skim)",1 cup,244
100008,2,"Milk, lactose free, fat free (skim)",1 fl oz,30.5
100008,3,"Milk, lactose free, fat free (skim)",Guideline amount per fl oz of beverage,2.5
100008,4,"Milk, lactose free, fat free (skim)",Guideline amount per cup of hot cereal,61
100008,5,"Milk, lactose free, fat free (skim)",Quantity not specified,244
100009,1,"Milk, lactose free, reduced fat (2%)",1 cup,244
100009,2,"Milk, lactose free, reduced fat (2%)",1 fl oz,30.5
100009,3,"Milk, lactose free, reduced fat (2%)",Guideline amount per fl oz of beverage,2.5
100009,4,"Milk, lactose free, reduced fat (2%)",Guideline amount per cup of hot cereal,61
100009,5,"Milk, lactose free, reduced fat (2%)",Quantity not specified,244
100010,1,"Milk, lactose free, whole",1 cup,244
100010,2,"Milk, lactose free, whole",1 fl oz,30.5
100010,3,"Milk, lactose free, whole",Guideline amount per fl oz of beverage,2.5
100010,4,"Milk, lactose free, whole",Guideline amount per cup of hot cereal,61
100010,5,"Milk, lactose free, whole",Quantity not specified,244
100011,1,Buttermilk,1 cup,244
100011,2,Buttermilk,1 fl oz,30.5
100011,3,Buttermilk,Quantity not specified,244
100012,1,Kefir,1 cup,244
100012,2,Kefir,1 fl oz,30.5
100012,3,Kefir,Quantity not specified,244
100013,1,Goat milk,1 cup,244
100013,2,Goat milk,1 fl oz,30.5
100013,3,Goat milk,Guideline amount per fl oz of beverage,2.5
100013,4,Goat milk,Guideline amount per cup of hot cereal,61
100013,5,Goat milk,Quantity not specified,244
100014,1,"Milk, dry, reconstituted, nonfat",1 cup,244
100014,2,"Milk, dry, reconstituted, nonfat",1 fl oz,30.5
100014,3,"Milk, dry, reconstituted, nonfat",Guideline amount per fl oz of beverage,2.5
100014,4,"Milk, dry, reconstituted, nonfat",Guideline amount per cup of hot cereal,61
100014,5,"Milk, dry, reconstituted, nonfat",Quantity not specified,244
100015,1,"Milk, dry, reconstituted, whole",1 cup,244
100015,2,"Milk, dry, reconstituted, whole",1 fl oz,30.5
100015,3,"Milk, dry, reconstituted, whole",Guideline amount per fl oz of beverage,2.5
100015,4,"Milk, dry, reconstituted, whole",Guideline amount per cup of hot cereal,61
100015,5,"Milk, dry, reconstituted, whole",Quantity not specified,244
100016,1,"Milk, evaporated, NS as to fat content",1 cup,252
100016,2,"Milk, evaporated, NS as to fat content",1 fl oz,31.5
100016,3,"Milk, evaporated, NS as to fat content",Guideline amount per fl oz of beverage,2.6
100016,4,"Milk, evaporated, NS as to fat content",Guideline amount per cup of hot cereal,63
100016,5,"Milk, evaporated, NS as to fat content",Quantity not specified,16
100017,1,"Milk, evaporated, whole",1 cup,252
100017,2,"Milk, evaporated, whole",1 fl oz,31.5
100017,3,"Milk, evaporated, whole",Guideline amount per fl oz of beverage,2.6
100017,4,"Milk, evaporated, whole",Guideline amount per cup of hot cereal,63
100017,5,"Milk, evaporated, whole",Quantity not specified,16
100018,1,"Milk, evaporated, reduced fat (2%)",1 cup,252
100018,2,"Milk, evaporated, reduced fat (2%)",1 fl oz,31.5
100018,3,"Milk, evaporated, reduced fat (2%)",Guideline amount per cup of hot cereal,63
100018,4,"Milk, evaporated, reduced fat (2%)",Quantity not specified,16
100019,1,"Milk, evaporated, fat free (skim)",1 cup,252
